Gambling Form,Total Expenditure ($million),Per Capita Expenditure ($),
Casino,950.873 ,174.62 ,
Pokies,"3,030.026 ",556.44 ,
Keno,52.406,9.62 ,
Lotteries,843.007,154.81 ,
Betting,"2,514.15",461.71 ,
