LGA Name,LGA,Region,Median House Hold Weekly Income,Total Net Expenditure ($),SEIFA DIS Score ,SEIFA DIS Rank State ,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State ,Adults Population 2024,Adults per Venue 2024,"EGM per 1,000 Adults 2024",Expenditure per Adult 2024,Workforce as at June 2024,Unemployed as at June 2024,Unemployment Rate as at June 2024,EGM ban
HUME,M27,Metro,1703.00,138016294.8,940.82,8,948.57,24,198226,14159,4,696,135744,9760,0.07,FALSE
BRIMBANK,M28,Metro,1506.00,171667782.5,912.47,3,928.42,13,159548,10637,6,1076,107496,6340,0.06,FALSE
MELTON,M29,Metro,1887.00,90271752.75,985.19,28,973.9,40,158362,22623,3,570,110899,5755,0.05,FALSE
HOBSONS BAY,M3,Metro,1972.00,46936040.49,1020.66,53,1034.27,59,74338,8260,7,631,56536,1594,0.03,FALSE
WYNDHAM,M30,Metro,2023.00,125213060.9,1005.52,44,1004.38,54,238883,18376,4,524,183269,8035,0.04,FALSE
MORNINGTON PENINSULA,M31,Metro,1555.00,87818238.92,1037.54,60,1016.21,56,139505,8719,6,629,83467,2176,0.03,FALSE
YARRA,M4,Metro,2270.00,29842339.2,1045.74,69,1107.86,77,88438,12634,3,337,67799,3272,0.05,FALSE
MARIBYRNONG,M5,Metro,1998.00,66253194.45,1009.72,48,1044.59,62,78609,8734,6,843,61101,2457,0.04,FALSE
STONNINGTON,M6,Metro,2210.00,19809877.19,1084.48,76,1129.99,79,97486,24372,2,203,72834,1856,0.03,FALSE
GLEN EIRA,M7,Metro,2133.00,71755193.09,1074.59,74,1102.85,75,124742,13860,5,575,94822,2661,0.03,FALSE
BAYSIDE,M8,Metro,2487.00,12380460.23,1090.41,79,1127.13,78,82673,27558,2,150,59319,1227,0.02,FALSE
MOONEE VALLEY,M9,Metro,2011.00,85434267.05,1040.72,62,1059.76,66,104152,9468,7,820,76284,2975,0.04,FALSE
BULOKE,C7,Country,1088.00,0,975.05,24,946.06,22,5012,0,0,0,3269,95,0.03,TRUE
GOLDEN PLAINS,C32,Country,1899.00,0,1039.94,61,996.95,52,19535,0,0,0,14369,409,0.03,TRUE
HINDMARSH,C8,Country,1159.00,0,940.1,6,922.83,8,4565,0,0,0,2916,107,0.04,TRUE
INDIGO,C35,Country,1511.00,0,1029.42,59,996.29,51,14058,0,0,0,9571,202,0.02,TRUE
LODDON,C46,Country,1039.00,0,948.1,11,924.81,10,6372,0,0,0,3652,147,0.04,TRUE
MOYNE,C36,Country,1530.00,0,1028.98,58,998.42,53,13797,0,0,0,9818,125,0.01,TRUE
PYRENEES,C44,Country,1101.00,0,958.69,17,929.26,14,6395,0,0,0,3451,184,0.05,TRUE
WEST WIMMERA,C39,Country,1207.00,0,991.01,33,971.17,39,3165,0,0,0,2188,64,0.03,TRUE
YARRIAMBIACK,C40,Country,1102.00,0,945.93,10,923.02,9,5184,0,0,0,3181,130,0.04,TRUE
